序號,年度,職類別,行業別,7月底受僱員工人數,7月經常性薪資（金額元）,111年1月至111年12月全年薪資所得（金額萬元）
1,2023,主管及監督人員,S000000000,10725,51299,68.3
2,2023,高階主管(總經理及總執行長),S000000000,155,125879,218.4
3,2023,中階主管(經理),S000000000,1722,73210,102.6
4,2023,監督人員(含現場及辦公室主任、科/股長),S000000000,8848,45728,59
5,2023,專業人員,S000000000,619,45838,59.3
6,2023,電機、電子工程師,S000000000,307,46492,55.4
7,2023,平面及多媒體設計師,S000000000,---,---,---
8,2023,財務及投資規劃分析人員,S000000000,-,-,-
9,2023,稽核人員,S000000000,-,-,-
10,2023,人力資源管理師,S000000000,---,---,---
11,2023,廣告及行銷專業人員(含企劃),S000000000,---,---,---
12,2023,公關專業人員,S000000000,---,---,---
13,2023,資訊及通訊專業人員(含系統分析、程式設計、資料庫及網路專業人員),S000000000,---,---,---
14,2023,技術員及助理專業人員,S000000000,4201,38357,49.9
15,2023,營建工程技術員(含建築、土木、景觀、測量、水利、消防),S000000000,-,-,-
16,2023,電機、電子技術員,S000000000,1511,38829,49.6
17,2023,機械技術員(含造船、輪機、鑄造),S000000000,---,---,---
18,2023,品管、工管及生管技術員,S000000000,---,---,---
19,2023,製圖員,S000000000,-,-,-
20,2023,會計人員,S000000000,---,---,---
21,2023,工商業銷售代表(含業務員),S000000000,---,---,---
22,2023,採購員,S000000000,---,---,---
23,2023,專業秘書,S000000000,-,-,-
24,2023,法務人員,S000000000,---,---,---
25,2023,資訊管理及維護技術員,S000000000,1536,38395,50.6
26,2023,事務支援人員,S000000000,15387,32118,41.4
27,2023,總務,S000000000,830,35524,44.7
28,2023,辦公室綜合事務人員(含資料登錄、一般事務秘書),S000000000,4463,32075,42
29,2023,收帳、收費人員(含帳款催收),S000000000,---,---,---
30,2023,接待員及服務台事務人員(含總機),S000000000,3685,32782,42.3
31,2023,電話及網路客服人員,S000000000,725,29225,37.5
32,2023,會計助理、簿記、出納,S000000000,4635,30777,38.2
33,2023,存貨事務人員,S000000000,438,34888,51.6
34,2023,生產及物料規劃事務人員,S000000000,-,-,-
35,2023,人事事務人員,S000000000,453,36319,51.4
36,2023,服務及銷售工作人員,S000000000,49038,31541,40.3
37,2023,廚師,S000000000,---,---,---
38,2023,餐飲服務人員(含餐食櫃台工作),S000000000,---,---,---
39,2023,美髮、美容及造型設計人員,S000000000,30947,30121,37.4
40,2023,殯葬服務人員,S000000000,4899,38337,52.8
41,2023,寵物美容師及動物照料工作人員,S000000000,---,---,---
42,2023,按摩師,S000000000,7110,31764,39
43,2023,銷售人員,S000000000,2340,36288,53.9
44,2023,電話及網路行銷人員,S000000000,---,---,---
45,2023,建築物管理員、保全及警衛人員,S000000000,---,---,---
46,2023,技藝、機械設備操作及組裝人員,S000000000,27300,33437,43.8
47,2023,空調及冷凍機械裝修人員,S000000000,---,---,---
48,2023,油漆、噴漆人員(含裱糊工),S000000000,1116,36757,47.6
49,2023,板金人員,S000000000,669,36515,46.4
50,2023,車輛維修人員(含自行車、機車、汽車、火車),S000000000,16631,34784,46.3
51,2023,電力、電子、資通訊設備裝修人員(含水電工),S000000000,1893,31341,39.8
52,2023,製鞋及有關工作人員,S000000000,---,---,---
53,2023,生產機械設備操作人員、剪裁或裁縫人員,S000000000,259,29910,36.3
54,2023,洗滌工、熨燙工,S000000000,4863,28221,36.7
55,2023,小客、貨車駕駛人員,S000000000,855,33742,40.2
56,2023,大客、貨車駕駛人員,S000000000,196,37470,45.4
57,2023,基層技術工及勞力工,S000000000,5334,29666,36.7
58,2023,清潔及家事工作人員(含建築清潔工、房務人員),S000000000,3705,30046,38
59,2023,勞力工(含理貨員、行李搬運工),S000000000,1618,28778,34.1
60,2023,廚房幫工(含速食烹調),S000000000,---,---,---
61,2023,主管及監督人員,S950000000,4335,53652,74.1
62,2023,高階主管(總經理及總執行長),S950000000,---,---,---
63,2023,中階主管(經理),S950000000,802,72275,104.5
64,2023,監督人員(含現場及辦公室主任、科/股長),S950000000,3455,47977,64.7
65,2023,專業人員,S950000000,473,45227,55.8
66,2023,電機、電子工程師,S950000000,307,46492,55.4
67,2023,廣告及行銷專業人員(含企劃),S950000000,---,---,---
68,2023,資訊及通訊專業人員(含系統分析、程式設計、資料庫及網路專業人員),S950000000,---,---,---
69,2023,技術員及助理專業人員,S950000000,3995,38151,49.6
70,2023,電機、電子技術員,S950000000,1472,38763,49.5
71,2023,機械技術員(含造船、輪機、鑄造),S950000000,---,---,---
72,2023,製圖員,S950000000,-,-,-
73,2023,工商業銷售代表(含業務員),S950000000,---,---,---
74,2023,採購員,S950000000,---,---,---
75,2023,資訊管理及維護技術員,S950000000,1492,38280,50.5
76,2023,事務支援人員,S950000000,7932,31764,41.4
77,2023,總務,S950000000,---,---,---
78,2023,辦公室綜合事務人員(含資料登錄、一般事務秘書),S950000000,2599,30987,41.1
79,2023,收帳、收費人員(含帳款催收),S950000000,---,---,---
80,2023,接待員及服務台事務人員(含總機),S950000000,1109,36036,48.1
81,2023,電話及網路客服人員,S950000000,---,---,---
82,2023,會計助理、簿記、出納,S950000000,2711,30497,38.1
83,2023,存貨事務人員,S950000000,381,35430,52.7
84,2023,人事事務人員,S950000000,---,---,---
85,2023,服務及銷售工作人員,S950000000,996,33272,59.4
86,2023,按摩師,S950000000,-,-,-
87,2023,銷售人員,S950000000,991,33307,59.6
88,2023,技藝、機械設備操作及組裝人員,S950000000,21169,34630,45.6
89,2023,空調及冷凍機械裝修人員,S950000000,---,---,---
90,2023,油漆、噴漆人員(含裱糊工),S950000000,1116,36757,47.6
91,2023,板金人員,S950000000,669,36515,46.4
92,2023,車輛維修人員(含自行車、機車、汽車、火車),S950000000,16631,34784,46.3
93,2023,電力、電子、資通訊設備裝修人員(含水電工),S950000000,1848,31165,39.6
94,2023,製鞋及有關工作人員,S950000000,---,---,---
95,2023,小客、貨車駕駛人員,S950000000,---,---,---
96,2023,基層技術工及勞力工,S950000000,1494,29648,37.9
97,2023,清潔及家事工作人員(含建築清潔工、房務人員),S950000000,1494,29648,37.9
98,2023,主管及監督人員,S962000000,2575,44060,55
99,2023,高階主管(總經理及總執行長),S962000000,---,---,---
100,2023,中階主管(經理),S962000000,207,69439,96.4
101,2023,監督人員(含現場及辦公室主任、科/股長),S962000000,2362,41609,51.5
102,2023,專業人員,S962000000,---,---,---
103,2023,平面及多媒體設計師,S962000000,---,---,---
104,2023,廣告及行銷專業人員(含企劃),S962000000,---,---,---
105,2023,公關專業人員,S962000000,-,-,-
106,2023,技術員及助理專業人員,S962000000,---,---,---
107,2023,工商業銷售代表(含業務員),S962000000,---,---,---
108,2023,採購員,S962000000,---,---,---
109,2023,資訊管理及維護技術員,S962000000,-,-,-
110,2023,事務支援人員,S962000000,1920,29484,36.6
111,2023,總務,S962000000,---,---,---
112,2023,辦公室綜合事務人員(含資料登錄、一般事務秘書),S962000000,---,---,---
113,2023,接待員及服務台事務人員(含總機),S962000000,839,29334,35.9
114,2023,電話及網路客服人員,S962000000,---,---,---
115,2023,會計助理、簿記、出納,S962000000,---,---,---
116,2023,存貨事務人員,S962000000,---,---,---
117,2023,人事事務人員,S962000000,---,---,---
118,2023,服務及銷售工作人員,S962000000,31919,30120,37.4
119,2023,廚師,S962000000,-,-,-
120,2023,餐飲服務人員(含餐食櫃台工作),S962000000,-,-,-
121,2023,美髮、美容及造型設計人員,S962000000,30947,30121,37.4
122,2023,按摩師,S962000000,819,29520,35.5
123,2023,銷售人員,S962000000,---,---,---
124,2023,電話及網路行銷人員,S962000000,---,---,---
125,2023,技藝、機械設備操作及組裝人員,S962000000,---,---,---
126,2023,電力、電子、資通訊設備裝修人員(含水電工),S962000000,-,-,-
127,2023,小客、貨車駕駛人員,S962000000,---,---,---
128,2023,基層技術工及勞力工,S962000000,---,---,---
129,2023,清潔及家事工作人員(含建築清潔工、房務人員),S962000000,---,---,---
130,2023,主管及監督人員,S969000000,3815,53511,70
131,2023,高階主管(總經理及總執行長),S969000000,71,138765,259.3
132,2023,中階主管(經理),S969000000,713,75357,101.8
133,2023,監督人員(含現場及辦公室主任、科/股長),S969000000,3031,46375,57.9
134,2023,專業人員,S969000000,107,51765,82.1
135,2023,平面及多媒體設計師,S969000000,---,---,---
136,2023,財務及投資規劃分析人員,S969000000,-,-,-
137,2023,稽核人員,S969000000,-,-,-
138,2023,人力資源管理師,S969000000,---,---,---
139,2023,廣告及行銷專業人員(含企劃),S969000000,---,---,---
140,2023,公關專業人員,S969000000,---,---,---
141,2023,資訊及通訊專業人員(含系統分析、程式設計、資料庫及網路專業人員),S969000000,---,---,---
142,2023,技術員及助理專業人員,S969000000,183,42983,56.9
143,2023,營建工程技術員(含建築、土木、景觀、測量、水利、消防),S969000000,-,-,-
144,2023,電機、電子技術員,S969000000,---,---,---
145,2023,品管、工管及生管技術員,S969000000,---,---,---
146,2023,會計人員,S969000000,---,---,---
147,2023,工商業銷售代表(含業務員),S969000000,---,---,---
148,2023,採購員,S969000000,---,---,---
149,2023,專業秘書,S969000000,-,-,-
150,2023,法務人員,S969000000,---,---,---
151,2023,資訊管理及維護技術員,S969000000,---,---,---
152,2023,事務支援人員,S969000000,5535,33538,42.6
153,2023,總務,S969000000,472,37370,48.4
154,2023,辦公室綜合事務人員(含資料登錄、一般事務秘書),S969000000,1585,34197,43.9
155,2023,接待員及服務台事務人員(含總機),S969000000,1737,32370,40.1
156,2023,電話及網路客服人員,S969000000,---,---,---
157,2023,會計助理、簿記、出納,S969000000,1305,32157,39
158,2023,存貨事務人員,S969000000,-,-,-
159,2023,生產及物料規劃事務人員,S969000000,-,-,-
160,2023,人事事務人員,S969000000,---,---,---
161,2023,服務及銷售工作人員,S969000000,16123,34246,44.7
162,2023,廚師,S969000000,---,---,---
163,2023,餐飲服務人員(含餐食櫃台工作),S969000000,---,---,---
164,2023,殯葬服務人員,S969000000,4899,38337,52.8
165,2023,寵物美容師及動物照料工作人員,S969000000,---,---,---
166,2023,按摩師,S969000000,6286,32061,39.5
167,2023,銷售人員,S969000000,1207,39083,49.4
168,2023,電話及網路行銷人員,S969000000,-,-,-
169,2023,建築物管理員、保全及警衛人員,S969000000,---,---,---
170,2023,技藝、機械設備操作及組裝人員,S969000000,6110,29308,37.4
171,2023,電力、電子、資通訊設備裝修人員(含水電工),S969000000,---,---,---
172,2023,生產機械設備操作人員、剪裁或裁縫人員,S969000000,259,29910,36.3
173,2023,洗滌工、熨燙工,S969000000,4863,28221,36.7
174,2023,小客、貨車駕駛人員,S969000000,748,33480,39.3
