序號,年度,職類別,行業別,7月底受僱員工人數,7月經常性薪資（金額元）,111年1月至111年12月全年薪資所得（金額萬元）
1,2023,主管及監督人員,N000000000,38926,54282,71.8
2,2023,高階主管(總經理及總執行長),N000000000,2243,124802,165
3,2023,中階主管(經理),N000000000,9668,63412,85.2
4,2023,監督人員(含現場及辦公室主任、科/股長),N000000000,27015,45160,58.6
5,2023,專業人員,N000000000,14537,53740,70.6
6,2023,品管、工管及生管工程師,N000000000,---,---,---
7,2023,機械工程師(含造船、輪機、鑄造),N000000000,-,-,-
8,2023,醫療器材、醫學工程師,N000000000,---,---,---
9,2023,電機、電子工程師,N000000000,2708,66686,87.3
10,2023,電信工程師,N000000000,---,---,---
11,2023,室內設計師,N000000000,-,-,-
12,2023,平面及多媒體設計師,N000000000,844,44190,56.3
13,2023,產品及服裝設計師(含工業設計),N000000000,-,-,-
14,2023,護理人員,N000000000,---,---,---
15,2023,藥事人員(含藥師),N000000000,-,-,-
16,2023,勞安及衛生管理人員(含工業安全管理師),N000000000,-,-,-
17,2023,物理治療師,N000000000,-,-,-
18,2023,財務及投資規劃分析人員,N000000000,---,---,---
19,2023,專案管理師(含經營管理顧問),N000000000,532,53106,65.6
20,2023,稽核人員,N000000000,---,---,---
21,2023,人力資源管理師,N000000000,848,49177,65.2
22,2023,廣告及行銷專業人員(含企劃),N000000000,2420,40961,49.9
23,2023,資訊及通訊專業人員(含系統分析、程式設計、資料庫及網路專業人員),N000000000,4273,67553,98.6
24,2023,編輯、作家及有關撰稿人員,N000000000,---,---,---
25,2023,翻譯人員,N000000000,2764,35088,45
26,2023,電影、舞台及有關導演與製作人,N000000000,-,-,-
27,2023,技術員及助理專業人員,N000000000,26133,40617,55.6
28,2023,營建工程技術員(含建築、土木、景觀、測量、水利、消防),N000000000,---,---,---
29,2023,電機、電子技術員,N000000000,4909,41289,55.8
30,2023,機械技術員(含造船、輪機、鑄造),N000000000,784,42267,52.9
31,2023,品管、工管及生管技術員,N000000000,207,40217,56.9
32,2023,環境工程技術員,N000000000,---,---,---
33,2023,醫療設備控制技術員,N000000000,-,-,-
34,2023,勞安及衛生技術員,N000000000,---,---,---
35,2023,信用及貸款人員,N000000000,---,---,---
36,2023,會計人員,N000000000,551,45613,58.9
37,2023,工商業銷售代表(含業務員),N000000000,10932,40529,56.2
38,2023,採購員,N000000000,---,---,---
39,2023,會議及活動規劃人員,N000000000,1079,42084,53.8
40,2023,職業介紹人及承包人,N000000000,3522,37376,53.3
41,2023,專業秘書,N000000000,531,39693,53.2
42,2023,法務人員,N000000000,380,49967,72
43,2023,社會工作助理人員,N000000000,-,-,-
44,2023,攝影師、攝影記者,N000000000,-,-,-
45,2023,資訊管理及維護技術員,N000000000,1526,42194,54
46,2023,事務支援人員,N000000000,76356,33938,43.8
47,2023,總務,N000000000,2537,34566,45.7
48,2023,辦公室綜合事務人員(含資料登錄、一般事務秘書),N000000000,36596,33870,44
49,2023,收帳、收費人員(含帳款催收),N000000000,1401,35229,47.4
50,2023,旅遊諮詢人員(含旅行社事務人員),N000000000,9430,31727,37.6
51,2023,接待員及服務台事務人員(含總機),N000000000,3874,31648,39.3
52,2023,電話及網路客服人員,N000000000,10258,36518,48.8
53,2023,統計調查訪談人員,N000000000,246,37132,48.9
54,2023,醫院(診所)櫃台事務人員,N000000000,---,---,---
55,2023,會計助理、簿記、出納,N000000000,7365,33683,42.2
56,2023,核保人員,N000000000,-,-,-
57,2023,統計、財務、證券及保險事務人員,N000000000,-,-,-
58,2023,存貨事務人員,N000000000,683,31841,40.3
59,2023,生產及物料規劃事務人員,N000000000,-,-,-
60,2023,人事事務人員,N000000000,3926,35212,45.9
61,2023,服務及銷售工作人員,N000000000,110003,32195,41.2
62,2023,隨車、船、飛機服務人員(含空服員),N000000000,-,-,-
63,2023,導遊、領隊及解說員,N000000000,1493,31693,37
64,2023,廚師,N000000000,---,---,---
65,2023,按摩師,N000000000,-,-,-
66,2023,銷售人員,N000000000,3052,34942,45.5
67,2023,收銀員及售票員,N000000000,349,28477,34.8
68,2023,電話及網路行銷人員,N000000000,4705,39196,53
69,2023,加油站服務員,N000000000,3559,28233,31.8
70,2023,健康照顧人員(含看護、月子照護),N000000000,3112,31439,37.8
71,2023,建築物管理員、保全及警衛人員,N000000000,93670,31950,41
72,2023,救生員,N000000000,-,-,-
73,2023,技藝、機械設備操作及組裝人員,N000000000,46808,33572,43.3
74,2023,園藝及農牧業生產人員,N000000000,---,---,---
75,2023,屋頂工作、地面牆面鋪設、泥作工作人員,N000000000,-,-,-
76,2023,管道裝設人員(含檢修),N000000000,-,-,-
77,2023,車輛維修人員(含自行車、機車、汽車、火車),N000000000,219,35642,47.7
78,2023,航空器維修人員,N000000000,-,-,-
79,2023,產業用機器維修人員,N000000000,4319,36297,47.4
80,2023,美編、印刷及有關工作人員(含印刷前置、裝訂),N000000000,---,---,---
81,2023,電力、電子、資通訊設備裝修人員(含水電工),N000000000,6038,36358,55.5
82,2023,消毒及除蟲有關工作人員,N000000000,1163,35296,44.5
83,2023,生產機械設備操作人員、剪裁或裁縫人員,N000000000,3270,31184,38.2
84,2023,組裝(現場)人員,N000000000,23429,31436,39.9
85,2023,小客、貨車駕駛人員,N000000000,2829,37467,48.1
86,2023,大客、貨車駕駛人員,N000000000,1676,40739,52.2
87,2023,推土、吊車、起重機等移運設備操作人員,N000000000,793,31450,42.3
88,2023,船舶艙面水手及有關工作人員,N000000000,-,-,-
89,2023,基層技術工及勞力工,N000000000,93537,29581,36.6
90,2023,清潔及家事工作人員(含建築清潔工、房務人員),N000000000,75949,29618,36.4
91,2023,勞力工(含理貨員、行李搬運工),N000000000,16405,29086,37.2
92,2023,廢棄物收集工及回收資源分類工,N000000000,258,27418,34.9
93,2023,廚房幫工(含速食烹調),N000000000,285,28826,31.8
94,2023,抄表員及自動販賣機收款員,N000000000,-,-,-
95,2023,停車場管理工,N000000000,---,---,---
96,2023,收票員、引座員、休閒遊樂場所服務員,N000000000,-,-,-
97,2023,主管及監督人員,N770000000,4376,52679,74.3
98,2023,高階主管(總經理及總執行長),N770000000,---,---,---
99,2023,中階主管(經理),N770000000,860,69613,97.3
100,2023,監督人員(含現場及辦公室主任、科/股長),N770000000,3405,45151,63
101,2023,專業人員,N770000000,814,54047,76.6
102,2023,機械工程師(含造船、輪機、鑄造),N770000000,-,-,-
103,2023,電機、電子工程師,N770000000,213,52898,78.5
104,2023,專案管理師(含經營管理顧問),N770000000,-,-,-
105,2023,人力資源管理師,N770000000,---,---,---
106,2023,廣告及行銷專業人員(含企劃),N770000000,---,---,---
107,2023,資訊及通訊專業人員(含系統分析、程式設計、資料庫及網路專業人員),N770000000,116,54304,77.6
108,2023,技術員及助理專業人員,N770000000,3073,40375,58.4
109,2023,電機、電子技術員,N770000000,480,38141,57.4
110,2023,機械技術員(含造船、輪機、鑄造),N770000000,-,-,-
111,2023,醫療設備控制技術員,N770000000,-,-,-
112,2023,勞安及衛生技術員,N770000000,---,---,---
113,2023,信用及貸款人員,N770000000,-,-,-
114,2023,會計人員,N770000000,---,---,---
115,2023,工商業銷售代表(含業務員),N770000000,2117,41053,59.5
116,2023,專業秘書,N770000000,---,---,---
117,2023,法務人員,N770000000,---,---,---
118,2023,資訊管理及維護技術員,N770000000,-,-,-
119,2023,事務支援人員,N770000000,4109,32972,42.2
120,2023,總務,N770000000,---,---,---
121,2023,辦公室綜合事務人員(含資料登錄、一般事務秘書),N770000000,1985,34241,44.4
122,2023,接待員及服務台事務人員(含總機),N770000000,715,28748,35.9
123,2023,電話及網路客服人員,N770000000,---,---,---
124,2023,會計助理、簿記、出納,N770000000,---,---,---
125,2023,存貨事務人員,N770000000,---,---,---
126,2023,人事事務人員,N770000000,---,---,---
127,2023,服務及銷售工作人員,N770000000,692,35717,49.4
128,2023,銷售人員,N770000000,692,35717,49.4
129,2023,技藝、機械設備操作及組裝人員,N770000000,3892,36410,46.1
130,2023,車輛維修人員(含自行車、機車、汽車、火車),N770000000,-,-,-
