序號,年度,職類別,行業別,7月底受僱員工人數,7月經常性薪資（金額元）,113年1月至113年12月全年薪資所得（金額萬元）
1,2025,主管及監督人員,P000000000,11087,55151,71.5
2,2025,高階主管(總經理及總執行長),P000000000,428,95977,120.1
3,2025,中階主管(經理),P000000000,4833,61539,81.1
4,2025,監督人員(含現場及辦公室主任、科/股長),P000000000,5826,46854,59.7
5,2025,專業人員,P000000000,80419,40619,51.8
6,2025,航空機械工程師,P000000000,---,---,---
7,2025,電機、電子工程師,P000000000,-,-,-
8,2025,平面及多媒體設計師,P000000000,---,---,---
9,2025,護理人員,P000000000,---,---,---
10,2025,勞安及衛生管理人員(含工業安全管理師),P000000000,---,---,---
11,2025,學前教育人員,P000000000,51556,42005,54.5
12,2025,補教業教師,P000000000,26082,37253,45.7
13,2025,專案管理師(含經營管理顧問),P000000000,---,---,---
14,2025,稽核人員,P000000000,---,---,---
15,2025,人力資源管理師,P000000000,---,---,---
16,2025,廣告及行銷專業人員(含企劃),P000000000,839,42550,51.7
17,2025,公關專業人員,P000000000,---,---,---
18,2025,資訊及通訊專業人員(含系統分析、程式設計、資料庫及網路專業人員),P000000000,814,52371,65.4
19,2025,專利工程師及公證人,P000000000,-,-,-
20,2025,人文社會科學研究人員,P000000000,---,---,---
21,2025,社工師、心理專業人員,P000000000,-,-,-
22,2025,編輯、作家及有關撰稿人員,P000000000,-,-,-
23,2025,翻譯人員,P000000000,---,---,---
24,2025,其他專業人員,P000000000,-,-,-
25,2025,技術員及助理專業人員,P000000000,973,39976,50.7
26,2025,電機、電子技術員,P000000000,-,-,-
27,2025,航空機械技術員,P000000000,---,---,---
28,2025,航空駕駛員,P000000000,---,---,---
29,2025,飛航管制員,P000000000,---,---,---
30,2025,勞安及衛生技術員,P000000000,-,-,-
31,2025,會計人員,P000000000,---,---,---
32,2025,工商業銷售代表(含業務員),P000000000,---,---,---
33,2025,採購員,P000000000,57,37042,46.8
34,2025,職業介紹人及承包人,P000000000,-,-,-
35,2025,專業秘書,P000000000,-,-,-
36,2025,法務人員,P000000000,---,---,---
37,2025,社會工作助理人員,P000000000,---,---,---
38,2025,運動、健身及休閒娛樂指導員,P000000000,---,---,---
39,2025,攝影師、攝影記者,P000000000,-,-,-
40,2025,資訊管理及維護技術員,P000000000,---,---,---
41,2025,廣播及視聽技術員(含放映員),P000000000,-,-,-
42,2025,事務支援人員,P000000000,33463,34468,44
43,2025,總務,P000000000,1607,34274,44.7
44,2025,辦公室綜合事務人員(含資料登錄、一般事務秘書),P000000000,9296,34784,44.4
45,2025,收帳、收費人員(含帳款催收),P000000000,---,---,---
46,2025,旅遊諮詢人員(含旅行社事務人員),P000000000,-,-,-
47,2025,接待員及服務台事務人員(含總機),P000000000,4372,32239,40.2
48,2025,電話及網路客服人員,P000000000,615,36478,45.9
49,2025,醫院(診所)櫃台事務人員,P000000000,-,-,-
50,2025,會計助理、簿記、出納,P000000000,1924,35837,43.6
51,2025,存貨事務人員,P000000000,---,---,---
52,2025,人事事務人員,P000000000,---,---,---
53,2025,教務人員(含班導師、課輔人員),P000000000,14850,34616,44.5
54,2025,服務及銷售工作人員,P000000000,5905,33856,43.2
55,2025,隨車、船、飛機服務人員(含空服員),P000000000,-,-,-
56,2025,廚師(含廚房領班),P000000000,1625,32054,40.6
57,2025,餐飲服務人員(含餐飲領班、餐食櫃台工作),P000000000,-,-,-
58,2025,美髮、美容及造型設計人員,P000000000,-,-,-
59,2025,按摩師,P000000000,-,-,-
60,2025,商店銷售及展售人員(含門市店長),P000000000,---,---,---
61,2025,收銀員及售票員,P000000000,-,-,-
62,2025,電話及網路行銷人員,P000000000,483,35347,44.7
63,2025,兒童照顧人員(含保母),P000000000,3666,34369,44
64,2025,建築物管理員、保全及警衛人員,P000000000,---,---,---
65,2025,救生員,P000000000,-,-,-
66,2025,技藝、機械設備操作及組裝人員,P000000000,2382,32217,40.7
67,2025,園藝及農牧業生產人員,P000000000,-,-,-
68,2025,油漆、噴漆人員(含汽車鍍膜、裱糊工),P000000000,-,-,-
69,2025,車輛維修人員(含自行車、機車、汽車、火車),P000000000,-,-,-
70,2025,美編、印刷及有關工作人員(含印刷前置、裝訂),P000000000,---,---,---
71,2025,電力、電子、資通訊設備裝修人員(含水電工),P000000000,---,---,---
72,2025,木材處理、家具木工及有關工作人員,P000000000,-,-,-
73,2025,小客、貨車駕駛人員,P000000000,2361,32138,40.6
74,2025,大客、貨車駕駛人員,P000000000,-,-,-
75,2025,基層技術工及勞力工,P000000000,4580,30486,38.5
76,2025,清潔及家事工作人員(含建築清潔工、房務人員),P000000000,---,---,---
