序號,年度,職類別,行業別,7月底受僱員工人數,7月經常性薪資（金額元）,113年1月至113年12月全年薪資所得（金額萬元）
1,2025,主管及監督人員,Q000000000,22448,96779,148.3
2,2025,高階主管(總經理及總執行長),Q000000000,1403,229823,331.4
3,2025,中階主管(經理),Q000000000,4341,134130,209.6
4,2025,監督人員(含現場及辦公室主任、科/股長),Q000000000,16704,75897,116.8
5,2025,專業人員,Q000000000,284106,78077,110.7
6,2025,統計及精算專業人員,Q000000000,-,-,-
7,2025,生命科學及生物科技專業人員(含生態環境),Q000000000,921,55658,73
8,2025,品管、工管及生管工程師,Q000000000,-,-,-
9,2025,土木及水利工程師,Q000000000,-,-,-
10,2025,環境工程師,Q000000000,-,-,-
11,2025,冷凍空調工程師,Q000000000,-,-,-
12,2025,機械工程師(含造船、輪機、鑄造),Q000000000,-,-,-
13,2025,醫療器材、醫學工程師,Q000000000,94,49309,68
14,2025,生物科學工程師,Q000000000,-,-,-
15,2025,電機、電子工程師,Q000000000,299,52385,92.7
16,2025,建築工程師(含建築師),Q000000000,---,---,---
17,2025,室內設計師,Q000000000,-,-,-
18,2025,平面及多媒體設計師,Q000000000,-,-,-
19,2025,醫師,Q000000000,56039,180007,249.7
20,2025,護理人員,Q000000000,172823,53265,77.6
21,2025,獸醫師,Q000000000,-,-,-
22,2025,藥事人員(含藥師),Q000000000,17501,60119,85.7
23,2025,勞安及衛生管理人員(含工業安全管理師),Q000000000,102,46123,65.4
24,2025,物理治療師,Q000000000,7292,46928,66.1
25,2025,營養師,Q000000000,2493,44055,64.7
26,2025,聽力及語言治療師,Q000000000,1805,50760,69.6
27,2025,職能治療師,Q000000000,4291,47733,65.7
28,2025,呼吸治療師,Q000000000,2249,54641,80.1
29,2025,醫院管理師,Q000000000,3204,44689,66.3
30,2025,其他醫療保健專業人員,Q000000000,6173,51070,85.6
31,2025,補教業教師,Q000000000,-,-,-
32,2025,會(審)計師,Q000000000,-,-,-
33,2025,財務及投資規劃分析人員,Q000000000,-,-,-
34,2025,專案管理師(含經營管理顧問),Q000000000,724,51627,73.8
35,2025,稽核人員,Q000000000,---,---,---
36,2025,人力資源管理師,Q000000000,---,---,---
37,2025,廣告及行銷專業人員(含企劃),Q000000000,552,41857,57.7
38,2025,公關專業人員,Q000000000,337,45590,65.1
39,2025,資訊及通訊專業人員(含系統分析、程式設計、資料庫及網路專業人員),Q000000000,2064,57750,82.8
40,2025,律師,Q000000000,-,-,-
41,2025,社工師、心理專業人員,Q000000000,5052,45716,64.8
42,2025,翻譯人員,Q000000000,-,-,-
43,2025,其他專業人員,Q000000000,-,-,-
44,2025,技術員及助理專業人員,Q000000000,53949,41412,57.8
45,2025,營建工程技術員(含建築、土木、景觀、測量、水利、消防),Q000000000,79,44348,63.1
46,2025,電機、電子技術員,Q000000000,506,45251,64.4
47,2025,冷凍空調技術員,Q000000000,-,-,-
48,2025,品管、工管及生管技術員,Q000000000,-,-,-
49,2025,環境工程技術員,Q000000000,---,---,---
50,2025,紡織技術員,Q000000000,-,-,-
51,2025,焚化爐、水處理及氣(液)體設備操作員,Q000000000,-,-,-
52,2025,生命科學技術員,Q000000000,---,---,---
53,2025,醫療設備控制技術員,Q000000000,8177,51005,74.5
54,2025,醫學及病理檢驗人員,Q000000000,10263,51378,77.1
55,2025,義肢、義齒等人體輔具技術員,Q000000000,237,36025,50.7
56,2025,傳統醫學技術員,Q000000000,---,---,---
57,2025,牙醫助理,Q000000000,8347,32466,40.6
58,2025,病歷管理人員,Q000000000,3393,35241,49.9
59,2025,配鏡、驗光技術員,Q000000000,788,36023,47.8
60,2025,物理、職能(復健)治療技術員,Q000000000,1941,39005,54.2
61,2025,勞安及衛生技術員,Q000000000,---,---,---
62,2025,其他醫療保健助理專業人員,Q000000000,12418,35271,45.5
63,2025,會計人員,Q000000000,149,49087,68.2
64,2025,統計及精算助理專業人員,Q000000000,-,-,-
65,2025,工商業銷售代表(含業務員),Q000000000,240,53819,64.2
66,2025,採購員,Q000000000,940,40275,60.3
67,2025,會議及活動規劃人員,Q000000000,-,-,-
68,2025,職業介紹人及承包人,Q000000000,-,-,-
69,2025,專業秘書,Q000000000,799,45439,66.2
70,2025,法務人員,Q000000000,136,49001,69
71,2025,社會工作助理人員,Q000000000,3229,37345,50.6
72,2025,運動、健身及休閒娛樂指導員,Q000000000,---,---,---
73,2025,攝影師、攝影記者,Q000000000,-,-,-
74,2025,資訊管理及維護技術員,Q000000000,1345,43513,62.3
75,2025,廣播及視聽技術員(含放映員),Q000000000,-,-,-
76,2025,電信技術員,Q000000000,-,-,-
77,2025,其他技術員及助理專業人員,Q000000000,-,-,-
78,2025,事務支援人員,Q000000000,45892,35616,49.5
79,2025,總務,Q000000000,3615,37730,53
80,2025,辦公室綜合事務人員(含資料登錄、一般事務秘書),Q000000000,17305,37236,52.9
81,2025,銀行、郵局櫃台事務人員,Q000000000,-,-,-
82,2025,收帳、收費人員(含帳款催收),Q000000000,---,---,---
83,2025,接待員及服務台事務人員(含總機),Q000000000,2792,33113,45.9
84,2025,電話及網路客服人員,Q000000000,302,34584,50.3
85,2025,統計調查訪談人員,Q000000000,-,-,-
86,2025,醫院(診所)櫃台事務人員,Q000000000,15197,33134,45.1
87,2025,會計助理、簿記、出納,Q000000000,4245,37145,49.1
88,2025,統計、財務、證券及保險事務人員,Q000000000,-,-,-
89,2025,存貨事務人員,Q000000000,639,34702,49
90,2025,生產及物料規劃事務人員,Q000000000,-,-,-
91,2025,運輸事務人員(含稽查、調度、管理、航務),Q000000000,-,-,-
92,2025,人事事務人員,Q000000000,1776,37417,51.4
93,2025,郵件處理及投遞人員,Q000000000,-,-,-
94,2025,教務人員(含班導師、課輔人員),Q000000000,-,-,-
95,2025,其他事務支援人員,Q000000000,-,-,-
96,2025,服務及銷售工作人員,Q000000000,71708,34370,44.8
97,2025,廚師(含廚房領班),Q000000000,1867,37648,51.6
98,2025,餐飲服務人員(含餐飲領班、餐食櫃台工作),Q000000000,318,34319,47.8
99,2025,美髮、美容及造型設計人員,Q000000000,154,40153,42.1
100,2025,旅館管家、舍監(含房務領班),Q000000000,-,-,-
101,2025,按摩師,Q000000000,-,-,-
102,2025,商店銷售及展售人員(含門市店長),Q000000000,-,-,-
103,2025,收銀員及售票員,Q000000000,-,-,-
104,2025,電話及網路行銷人員,Q000000000,-,-,-
105,2025,兒童照顧人員(含保母),Q000000000,13251,34092,43.4
106,2025,健康照顧人員(含看護、月子照護),Q000000000,55477,34255,44.7
107,2025,建築物管理員、保全及警衛人員,Q000000000,641,39099,59.9
108,2025,其他服務及銷售工作人員,Q000000000,-,-,-
109,2025,技藝、機械設備操作及組裝人員,Q000000000,4589,37969,56.2
110,2025,園藝及農牧業生產人員,Q000000000,---,---,---
111,2025,營建木作人員,Q000000000,---,---,---
112,2025,其他營建構造人員(含鷹架工、鋁門窗及廣告招牌製作安裝),Q000000000,-,-,-
113,2025,管道裝設人員(含檢修),Q000000000,-,-,-
114,2025,空調及冷凍機械裝修人員,Q000000000,174,43510,63.5
115,2025,精密儀器製造及修理人員,Q000000000,130,43636,71.4
116,2025,電力、電子、資通訊設備裝修人員(含水電工),Q000000000,1491,41899,63
117,2025,食品製造及處理人員(含酒類、飲料、製糖、菸葉),Q000000000,-,-,-
118,2025,產品分級及檢查人員,Q000000000,-,-,-
119,2025,木材處理、家具木工及有關工作人員,Q000000000,-,-,-
120,2025,消毒及除蟲有關工作人員,Q000000000,---,---,---
121,2025,生產機械設備操作人員、剪裁或裁縫人員,Q000000000,---,---,---
122,2025,洗衣(含鞋包)、熨燙工,Q000000000,246,33914,49.8
123,2025,機車送件駕駛人員,Q000000000,-,-,-
124,2025,小客、貨車駕駛人員,Q000000000,2020,33611,47.1
125,2025,大客、貨車駕駛人員,Q000000000,453,42288,63.4
126,2025,其他技藝、機械設備操作及組裝人員,Q000000000,-,-,-
127,2025,基層技術工及勞力工,Q000000000,12034,32205,45.4
128,2025,清潔及家事工作人員(含建築清潔工、房務人員),Q000000000,5208,32001,43.9
129,2025,勞力工(含理貨員、行李搬運工),Q000000000,3364,33675,48.9
130,2025,廢棄物收集工及回收資源分類工,Q000000000,34,34147,53.7
131,2025,廚房幫工(含速食烹調),Q000000000,3428,31052,43.8
132,2025,抄表員及自動販賣機收款員,Q000000000,-,-,-
133,2025,停車場管理工,Q000000000,-,-,-
134,2025,主管及監督人員,Q860000000,17405,109378,169
135,2025,高階主管(總經理及總執行長),Q860000000,1229,248160,358.4
136,2025,中階主管(經理),Q860000000,3726,145027,229.1
137,2025,監督人員(含現場及辦公室主任、科/股長),Q860000000,12450,85009,132.8
138,2025,專業人員,Q860000000,272481,79569,112.8
139,2025,統計及精算專業人員,Q860000000,-,-,-
140,2025,生命科學及生物科技專業人員(含生態環境),Q860000000,921,55658,73
141,2025,品管、工管及生管工程師,Q860000000,-,-,-
142,2025,土木及水利工程師,Q860000000,-,-,-
143,2025,環境工程師,Q860000000,-,-,-
144,2025,冷凍空調工程師,Q860000000,-,-,-
145,2025,機械工程師(含造船、輪機、鑄造),Q860000000,-,-,-
146,2025,醫療器材、醫學工程師,Q860000000,94,49309,68
147,2025,生物科學工程師,Q860000000,-,-,-
148,2025,電機、電子工程師,Q860000000,299,52385,92.7
149,2025,建築工程師(含建築師),Q860000000,---,---,---
150,2025,室內設計師,Q860000000,-,-,-
151,2025,平面及多媒體設計師,Q860000000,-,-,-
152,2025,醫師,Q860000000,56033,180010,249.7
153,2025,護理人員,Q860000000,163954,53882,78.6
154,2025,獸醫師,Q860000000,-,-,-
155,2025,藥事人員(含藥師),Q860000000,17458,60122,85.7
156,2025,勞安及衛生管理人員(含工業安全管理師),Q860000000,102,46123,65.4
157,2025,物理治療師,Q860000000,7200,46846,66
158,2025,營養師,Q860000000,2377,44145,65.3
159,2025,聽力及語言治療師,Q860000000,1805,50760,69.6
160,2025,職能治療師,Q860000000,3841,47761,65.6
161,2025,呼吸治療師,Q860000000,2249,54641,80.1
162,2025,醫院管理師,Q860000000,3204,44689,66.3
163,2025,其他醫療保健專業人員,Q860000000,6173,51070,85.6
164,2025,會(審)計師,Q860000000,-,-,-
165,2025,財務及投資規劃分析人員,Q860000000,-,-,-
166,2025,專案管理師(含經營管理顧問),Q860000000,724,51627,73.8
167,2025,稽核人員,Q860000000,---,---,---
168,2025,人力資源管理師,Q860000000,---,---,---
169,2025,廣告及行銷專業人員(含企劃),Q860000000,487,41800,58.3
170,2025,公關專業人員,Q860000000,324,45535,65.3
171,2025,資訊及通訊專業人員(含系統分析、程式設計、資料庫及網路專業人員),Q860000000,2047,57768,82.8
172,2025,律師,Q860000000,-,-,-
173,2025,社工師、心理專業人員,Q860000000,3098,45282,65.7
174,2025,翻譯人員,Q860000000,-,-,-
175,2025,其他專業人員,Q860000000,-,-,-
176,2025,技術員及助理專業人員,Q860000000,50428,41669,58.3
177,2025,營建工程技術員(含建築、土木、景觀、測量、水利、消防),Q860000000,79,44348,63.1
178,2025,電機、電子技術員,Q860000000,506,45251,64.4
179,2025,冷凍空調技術員,Q860000000,-,-,-
180,2025,品管、工管及生管技術員,Q860000000,-,-,-
181,2025,環境工程技術員,Q860000000,---,---,---
182,2025,紡織技術員,Q860000000,-,-,-
183,2025,焚化爐、水處理及氣(液)體設備操作員,Q860000000,-,-,-
184,2025,生命科學技術員,Q860000000,---,---,---
185,2025,醫療設備控制技術員,Q860000000,8177,51005,74.5
186,2025,醫學及病理檢驗人員,Q860000000,10263,51378,77.1
187,2025,義肢、義齒等人體輔具技術員,Q860000000,237,36025,50.7
